               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.034149,            0.032179,           0.0032639,             0.84393,             0.67101,             0.76933,              0.3843,            0.033836,            0.022086,           0.0027223,           0.0015566,           0.0015566,           0.0015566
                  86,            0.034222,            0.033556,            0.003145,             0.84669,             0.66982,             0.76969,             0.38469,            0.033813,            0.022082,           0.0027279,           0.0014905,           0.0014905,           0.0014905
                  87,            0.034021,            0.033179,           0.0032237,             0.84605,             0.67303,             0.77094,             0.38433,            0.033795,            0.022073,           0.0027236,           0.0014283,           0.0014283,           0.0014283
                  88,            0.034161,            0.032817,           0.0030891,             0.85503,             0.66364,             0.77013,             0.38537,            0.033801,            0.022057,           0.0027155,           0.0013701,           0.0013701,           0.0013701
                  89,            0.033996,             0.03294,           0.0031327,             0.86241,             0.65867,             0.77072,              0.3883,            0.033776,            0.022047,            0.002711,            0.001316,            0.001316,            0.001316
                  90,            0.034056,            0.032753,           0.0030814,             0.86146,             0.65843,             0.77181,             0.38893,            0.033745,            0.022043,           0.0027043,            0.001266,            0.001266,            0.001266
                  91,            0.033895,             0.03371,           0.0030412,             0.85303,               0.666,             0.77302,             0.39015,            0.033707,            0.022031,           0.0026989,           0.0012202,           0.0012202,           0.0012202
                  92,            0.033784,            0.032105,            0.002981,             0.84771,              0.6731,             0.77466,             0.39037,            0.033677,            0.022016,           0.0026955,           0.0011787,           0.0011787,           0.0011787
                  93,            0.033738,            0.032539,           0.0030277,             0.85043,             0.67445,             0.77479,             0.39065,            0.033655,            0.022011,           0.0026906,           0.0011414,           0.0011414,           0.0011414
                  94,            0.033503,            0.032163,           0.0029336,             0.85019,             0.67328,             0.77478,             0.39161,            0.033642,            0.022007,           0.0026857,           0.0011084,           0.0011084,           0.0011084
                  95,            0.033553,            0.032044,            0.003033,             0.84968,             0.67526,             0.77564,             0.39254,             0.03362,            0.021997,           0.0026816,           0.0010797,           0.0010797,           0.0010797
                  96,            0.033436,            0.031482,           0.0030209,             0.84775,             0.66817,             0.76809,             0.39277,            0.033598,            0.021991,           0.0026739,           0.0010554,           0.0010554,           0.0010554
                  97,            0.033557,            0.032217,           0.0029702,             0.84465,             0.65977,              0.7571,             0.39311,            0.033579,            0.021979,           0.0026663,           0.0010355,           0.0010355,           0.0010355
                  98,            0.033767,            0.032406,           0.0030672,             0.84727,             0.65669,             0.75801,             0.39298,            0.033561,            0.021974,           0.0026593,             0.00102,             0.00102,             0.00102
                  99,            0.033518,            0.032034,           0.0029384,             0.85144,             0.66188,             0.77075,             0.39611,            0.033536,            0.021968,           0.0026479,           0.0010089,           0.0010089,           0.0010089
