               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.032239,            0.044524,           0.0099873,             0.69258,             0.63638,             0.67293,              0.4296,              0.0367,            0.022827,            0.013397,           0.0018594,           0.0018594,           0.0018594
                  82,            0.031656,            0.041407,            0.009918,              0.7455,             0.62184,             0.68814,             0.42728,            0.036834,             0.02296,            0.014563,           0.0017781,           0.0017781,           0.0017781
                  83,            0.031499,            0.044091,           0.0095964,              0.7392,             0.62589,             0.66844,             0.42741,            0.036947,            0.022703,            0.014684,           0.0017005,           0.0017005,           0.0017005
                  84,             0.03095,            0.040686,           0.0097057,             0.68311,             0.67295,             0.67713,              0.4234,            0.036556,            0.022668,            0.015056,           0.0016267,           0.0016267,           0.0016267
                  85,            0.030888,            0.039758,           0.0094806,             0.70681,             0.64955,             0.67942,             0.42901,            0.036269,            0.022617,            0.014264,           0.0015566,           0.0015566,           0.0015566
                  86,            0.031075,            0.041834,           0.0095021,             0.71238,             0.62694,             0.67345,             0.42444,            0.036319,            0.022797,            0.015144,           0.0014905,           0.0014905,           0.0014905
                  87,            0.030667,            0.039312,            0.009098,             0.71314,             0.64354,             0.68033,             0.43362,            0.036675,            0.022769,            0.014456,           0.0014283,           0.0014283,           0.0014283
                  88,            0.031247,            0.042057,           0.0093504,             0.69056,             0.62306,             0.65497,             0.41486,            0.037185,            0.023253,            0.015705,           0.0013701,           0.0013701,           0.0013701
                  89,            0.030876,            0.039177,           0.0090384,             0.74383,             0.60727,             0.66113,             0.41818,            0.036591,            0.023182,            0.015347,            0.001316,            0.001316,            0.001316
                  90,             0.03063,            0.041269,           0.0094594,             0.69742,             0.62952,             0.66683,             0.42946,            0.036391,            0.022712,            0.014852,            0.001266,            0.001266,            0.001266
                  91,             0.03029,            0.040759,           0.0086915,             0.73086,             0.61782,             0.67536,             0.42597,            0.036224,             0.02276,            0.015062,           0.0012202,           0.0012202,           0.0012202
                  92,            0.030474,            0.040363,           0.0094985,             0.77731,             0.59879,             0.68925,             0.43507,            0.036476,            0.022481,            0.015289,           0.0011787,           0.0011787,           0.0011787
                  93,            0.029918,            0.039505,           0.0088734,             0.70735,             0.61974,             0.66883,             0.42613,            0.036694,            0.022881,            0.015097,           0.0011414,           0.0011414,           0.0011414
                  94,            0.030431,            0.039031,            0.009307,             0.72377,             0.60896,             0.66927,             0.42642,            0.036648,            0.022913,            0.015162,           0.0011084,           0.0011084,           0.0011084
                  95,            0.030383,            0.040215,           0.0082365,             0.72987,             0.56187,             0.65193,             0.42652,            0.036302,            0.022832,            0.015764,           0.0010797,           0.0010797,           0.0010797
                  96,            0.030551,            0.041701,           0.0080678,             0.73628,               0.617,             0.67147,             0.43958,            0.036475,            0.022793,            0.015477,           0.0010554,           0.0010554,           0.0010554
                  97,            0.030227,            0.040607,           0.0082772,             0.74918,             0.60379,             0.66982,             0.42954,            0.036134,            0.023147,            0.015629,           0.0010355,           0.0010355,           0.0010355
                  98,            0.030078,            0.041495,           0.0087646,             0.71254,             0.64076,             0.68277,             0.43234,            0.036147,            0.022813,            0.015846,             0.00102,             0.00102,             0.00102
                  99,            0.030186,            0.041462,           0.0087383,             0.75311,             0.62106,             0.67842,             0.42897,            0.036603,            0.023076,            0.015394,           0.0010089,           0.0010089,           0.0010089
